Unnamed: 0,title,genres
1980,australian history,"{'fiction', 'history', 'non-fiction'}"
1981,joululahjat,"{'christmas', 'short-stories', 'fiction', '20th-century', 'non-fiction'}"
1982,a little book for christmas,"{'christmas', 'classics', 'fiction', 'short-stories', 'non-fiction', 'poetry'}"
1983,blown to bits,"{'unfinished', 'history'}"
1984,h g wells,"{'classics', 'science-fiction', 'literature', 'short-stories', 'fiction'}"
1985,venereal diseases ,"{'historical', 'history', 'science'}"
1986,venereal diseases,"{'historical', 'history', 'science'}"
1987,a first spanish reader,"{'classics', 'unfinished'}"
1988,nautilus,"{'adventure', 'feminism', 'science-fiction', 'fiction', 'comedy', 'dystopia', 'lgbt'}"
1989,red money,"{'mystery', 'classics', 'novels', 'fiction', '20th-century'}"
1990,the negro,"{'history', 'modern', 'historical-fiction', 'music', 'non-fiction', 'theology', 'historical', 'college', 'art', 'education', 'literature', 'fiction', 'philosophy', '20th-century', 'essays', 'school', 'american', 'sociology', 'classics', 'short-stories', 'politics', 'poetry'}"
1991,fugitive pieces,"{'contemporary', 'literary-fiction', 'history', 'non-fiction', 'novels', 'literature', 'fiction', 'historical-fiction', 'war', '20th-century', 'adult-fiction', 'adult', 'school', 'poetry', 'historical'}"
1992,les mille et une nuits ,"{'classics', 'fiction', 'adult'}"
1993,le portrait de monsieur wh,"{'roman', 'mystery', 'classics', 'novella', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'school', 'read-for-school', 'poetry', 'new-adult', 'lgbt', 'art'}"
1994,a cathedral singer,"{'fiction', 'historical'}"
1995,jorrocks jaunts and jollities,"{'literary-fiction', 'adventure', 'classics', 'novels', 'literature', 'fiction', 'sports', 'humor'}"
1996,leone leoni,"{'romance', 'literary-fiction', 'feminism', 'classics', 'novella', 'literature', 'fiction', 'adult-fiction', 'historical-fiction', '20th-century', 'music', 'historical', 'college'}"
1997,true riches,"{'christian', 'economics'}"
1998,evangeline,"{'adventure', 'middle-grade', 'literary-fiction', 'teen', 'mystery', 'fantasy', 'paranormal', 'mystery-thriller', 'fiction', 'short-stories', 'childrens', 'young-adult', 'school', 'magic', 'coming-of-age', 'supernatural'}"
1999,tender buttons,"{'literary-fiction', 'feminism', 'classics', 'modern', 'novels', 'literature', 'fiction', '20th-century', 'school', 'non-fiction', 'read-for-school', 'poetry', 'american', 'college', 'lgbt', 'art'}"
2000,narrative of the life and,"{'history', 'biography'}"
2001,the rise of silas lapham,"{'literary-fiction', 'history', 'classics', 'high-school', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'philosophy', 'school', 'adult', 'read-for-school', 'economics', 'american', 'historical', 'college', 'business'}"
2002,the great lone land,"{'history', 'classics', 'travel', 'non-fiction', 'american'}"
2003,what answer,{'poetry'}
2004,three lives,"{'literary-fiction', 'feminism', 'classics', 'novella', 'modern', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'read-for-school', 'adult-fiction', 'school', 'unfinished', 'poetry', 'american', 'college', 'lgbt'}"
2005,a voyage to the south sea,"{'classics', 'fiction', 'history', 'historical'}"
2006,tramping on life,"{'biography', 'non-fiction'}"
2007,the spinners,"{'romance', 'adventure', 'suspense', 'travel', 'historical-fiction', 'non-fiction', 'historical', 'contemporary', 'mystery', 'mystery-thriller', 'novels', 'fantasy', 'fiction', '20th-century', 'adult', 'crime', 'classics', 'adult-fiction', 'young-adult', 'chick-lit', 'romantic-suspense', 'thriller'}"
2008,letters to a daughter,"{'christian', 'love'}"
2009,broken homes,"{'contemporary', 'fiction', 'crime'}"
2010,israel potter,"{'adventure', 'biography', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'american'}"
2011,the lever,"{'short-stories', 'science-fiction', 'fantasy', 'fiction'}"
2012,success,"{'education', 'history', 'sociology', 'self-help', 'psychology', 'philosophy', 'fiction', 'science', 'essays', 'adult', 'non-fiction', 'school', 'economics', 'business'}"
2013,new faces,"{'romance', 'new-adult', 'adult'}"
2014,the great round world,"{'picture-books', 'biography', 'history', 'science', 'school', 'art'}"
2015,imperium in imperio a study,"{'history', 'picture-books', 'classics', 'literature', 'fiction', 'historical-fiction', '20th-century', 'speculative-fiction', 'read-for-school', 'american', 'historical', 'college'}"
2016,a course in wood turning,{'non-fiction'}
2017,alcools,"{'romance', 'classics', 'modern', 'literature', 'fiction', '20th-century', 'school', 'non-fiction', 'read-for-school', 'poetry', 'art'}"
2018,parisian points of view,"{'literature', 'romance', 'plays'}"
2019,inez,"{'literary-fiction', 'roman', 'novella', 'science-fiction', 'novels', 'literature', 'fiction', 'music', 'non-fiction', 'american'}"
2020,emblems of love,{'poetry'}
2021,love stories,"{'romance', 'contemporary', 'teen', 'high-school', 'chick-lit', 'fiction', 'college', 'realistic-fiction', 'love', 'young-adult', 'contemporary-romance', 'non-fiction', 'drama', 'adult-fiction', 'new-adult'}"
2022,the mahabharata vol ,"{'adventure', 'classics', 'religion', 'comics', 'fantasy', 'mythology', 'philosophy', 'fiction', 'literature', 'poetry'}"
2023,the care and feeding of children,{'psychology'}
2024,catharine,"{'romance', 'classics', 'novella', 'novels', 'fiction', 'historical-fiction', 'short-stories', 'read-for-school', 'historical'}"
2025,democracy and social ethics,"{'education', 'history', 'feminism', 'sociology', 'classics', 'spirituality', 'philosophy', 'fiction', '20th-century', 'essays', 'school', 'non-fiction', 'economics', 'college'}"
2026,dream psychology,"{'spirituality', 'reference', 'psychology'}"
2027,the lancashire witches,"{'romance', 'horror', 'history', 'classics', 'fantasy', 'paranormal', 'fiction', 'historical-fiction', '20th-century', 'unfinished', 'non-fiction', 'magic', 'spirituality', 'supernatural', 'historical', 'urban-fantasy'}"
2028,the militants,"{'history', 'feminism', 'fiction', 'politics', 'non-fiction'}"
2029,ethica,"{'history', 'classics', 'religion', 'psychology', 'philosophy', 'fiction', 'politics', '20th-century', 'literature', 'science', 'non-fiction', 'unfinished', 'theology'}"
2030,the moonstone,"{'romance', 'literary-fiction', 'adventure', 'crime', 'mystery', 'classics', 'mystery-thriller', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'thriller', 'adult-fiction', 'adult', 'school', 'unfinished', 'historical'}"
2031,yksink,"{'essays', 'history', 'non-fiction'}"
2032,stephen a douglas,"{'politics', 'biography'}"
2033,maaemon lapsia,{'fiction'}
2034,the religions of japan,"{'religion', 'non-fiction'}"
2035,the adventures of prickly porky,"{'adventure', 'literary-fiction', 'history', 'classics', 'animals', 'fantasy', 'literature', 'fiction', 'historical-fiction', 'short-stories', 'childrens', 'science', 'speculative-fiction'}"
2036,getting together,"{'contemporary', 'romance', 'teen', 'high-school', 'family', 'fiction', 'realistic-fiction', 'adult-fiction', 'young-adult', 'relationships', 'coming-of-age', 'lgbt', 'humor'}"
2037,songs from books,{'poetry'}
2038,the hidden masterpiece,"{'romance', 'literary-fiction', 'history', 'roman', 'classics', 'novella', 'science-fiction', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'adult-fiction', 'philosophy', 'historical-fiction', 'music', 'historical', 'art'}"
2039,novelas cortas,"{'literary-fiction', 'classics', 'short-stories', 'fiction', '20th-century'}"
2040,adieu,"{'romance', 'history', 'classics', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'war', 'school'}"
2041,across india,"{'adventure', '21st-century', 'travel', 'amazon', 'fiction', 'memoir', 'non-fiction', 'humor'}"
2042,a daughter of the dons,"{'fiction', '20th-century'}"
2043,dalembert,"{'romance', 'roman', 'classics', 'novels', 'philosophy', 'fiction', 'literature', 'plays'}"
2044,the basis of morality,"{'classics', 'philosophy', 'fiction', '20th-century', 'essays', 'non-fiction', 'unfinished'}"
2045,novena,"{'contemporary', 'roman', 'fiction', 'politics', 'historical-fiction', 'drama', 'american'}"
2046,a passion in the desert,"{'romance', 'classics', 'animals', 'novella', 'novels', 'literature', 'short-stories', 'fiction', '20th-century', 'historical'}"
2047,stories from le morte,"{'classics', 'fantasy', 'literature', 'short-stories', 'historical-fiction'}"
2048,christmas outside of eden,{'christmas'}
2049,le parfum de la dame en noir,"{'romance', 'crime', 'history', 'roman', 'mystery', 'classics', 'mystery-thriller', 'novels', 'amazon', 'fiction', 'historical-fiction', 'thriller', 'drama', 'historical'}"
2050,la chasse  loppossum,"{'classics', 'romance'}"
2051,carnet dun inconnu,"{'literary-fiction', 'roman', 'classics', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'drama', 'humor'}"
2052,robur der sieger,"{'adventure', 'roman', 'mystery', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'science', 'speculative-fiction'}"
2053,the marriage contract,"{'relationships', 'short-stories', 'sports'}"
2054,reason and faith,{'christian'}
2055,the law and the word,"{'religion', 'spirituality', 'science'}"
2056,men of iron,"{'romance', 'adventure', 'middle-grade', 'history', 'teen', 'classics', 'science-fiction', 'fantasy', 'literature', 'fiction', 'historical-fiction', 'childrens', 'young-adult', 'school', 'read-for-school', 'historical'}"
2057,paradise garden,"{'non-fiction', 'fiction', 'religion', 'art'}"
2058,mary cary,"{'literary-fiction', 'classics', 'literature', 'short-stories', 'fiction', 'childrens', 'american', 'historical', 'humor'}"
2059,le capitaine paul,"{'romance', 'classics', 'literature', 'fiction', 'historical-fiction', '20th-century', 'american'}"
2060,a history of the mcguffey readers,"{'education', 'non-fiction'}"
2061,the miracle man,"{'classics', 'historical-romance'}"
2062,buffalo bill,"{'picture-books', 'history', 'biography', 'classics', 'fiction', 'historical-fiction', 'childrens', 'school', 'non-fiction', 'american', 'historical'}"
2063,humorous masterpieces from,"{'classics', 'novella'}"
2064,india old and new,"{'history', 'historical'}"
2065,the pilot and his wife,"{'romance', 'classics', 'novels', 'fiction', 'school'}"
2066,the collected works of,"{'biography', 'animals', 'literature', 'fiction', 'non-fiction', 'unfinished'}"
2067,matisse picasso and gertrude stein,"{'biography', 'classics', 'novella', 'fiction', 'essays', 'non-fiction', 'poetry', 'american', 'art'}"
2068,first love little blue book,{'short-stories'}
2069,genesis a,"{'biography', 'writing', 'classics', 'reference', 'philosophy', 'music', 'non-fiction', 'art'}"
2070,hero tales,"{'romance', 'adventure', 'middle-grade', 'picture-books', 'animals', 'family', 'fantasy', 'mythology', 'novels', 'fiction', 'adult-fiction', 'childrens', 'young-adult', 'coming-of-age', 'historical'}"
2071,the story of jack and the giants,"{'literary-fiction', 'middle-grade', 'classics', 'fantasy', 'amazon'}"
2072,jukesedwards,"{'christian', 'non-fiction'}"
2073,the lookout man,"{'fiction', '20th-century'}"
2074,verners pride,"{'classics', 'fiction', '20th-century'}"
2075,the southern cross,"{'novels', 'literature', 'short-stories', 'fiction', 'realistic-fiction', 'non-fiction', 'american'}"
2076,the future of astronomy,"{'american', 'science', 'non-fiction'}"
2077,life of johnson,"{'history', 'biography', 'classics', 'literature', 'fiction', 'philosophy', '20th-century', 'memoir', 'school', 'non-fiction', 'historical', 'college'}"
2078,romeo ja julia,"{'romance', 'novella', 'fantasy', 'fiction', 'short-stories', 'non-fiction', 'humor'}"
2079,thirteen months in the rebel army,{'history'}
2080,porttarascon,"{'literature', 'fiction', 'humor', 'novels'}"
2081,nord contre sud,"{'adventure', 'writing', 'classics', 'historical-romance', 'fiction', 'historical-fiction', '20th-century', 'american'}"
2082,the last days of pompeii,"{'adventure', 'christian', 'history', 'roman', 'classics', 'novella', 'historical-romance', 'comics', 'science-fiction', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'adult', 'non-fiction', 'historical'}"
2083,the poetical works of thomas hood,"{'classics', 'poetry', 'fiction'}"
2084,the firing line,{'fiction'}
2085,four little blossoms and,{'childrens'}
2086,representation of the,{'education'}
2087,little eve edgarton,"{'romance', 'classics', 'fiction', '20th-century', 'adult', 'american', 'humor'}"
2088,the golden goose book,"{'picture-books', 'classics', 'fantasy', 'literature', 'short-stories', 'fiction', 'childrens'}"
2089,ancient egypt,"{'adventure', 'history', 'mythology', 'historical-fiction', 'non-fiction', 'theology', 'historical', 'reference', 'fantasy', 'literature', 'fiction', 'childrens', 'school', 'read-for-school', 'classics', 'religion', 'short-stories', 'young-adult', 'middle-grade', 'science-fiction', 'magic'}"
2090,pepper  salt,"{'christian', 'humor'}"
2091,best short stories,"{'literary-fiction', 'horror', 'science-fiction', 'fantasy', 'sports', 'literature', 'short-stories', 'fiction', 'novels', 'science', 'dystopia', 'speculative-fiction', 'theology'}"
2092,fru inger til strt,"{'plays', 'classics', 'fiction', 'historical-fiction', '20th-century', 'drama', 'historical'}"
2093,a splendid hazard,"{'literature', 'adventure', 'fiction', 'classics'}"
2094,the day of the beast,"{'classics', 'novels', 'amazon', 'fiction', 'historical-fiction', '20th-century'}"
2095,a voyage to new holland,"{'history', 'travel', 'non-fiction'}"
2096,the house that jill built,"{'fiction', 'childrens', 'picture-books'}"
2097,de leeuw van vlaanderen,"{'literary-fiction', 'history', 'roman', 'classics', 'historical-romance', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'war', 'historical'}"
2098,a continuation of a voyage,{'history'}
2099,little essays of love and virtue,"{'politics', 'essays', 'psychology', 'non-fiction'}"
2100,gascoyne the sandal wood trader,"{'classics', 'fiction', 'historical-fiction', 'childrens'}"
2101,the lily of the valley,"{'romance', 'roman', 'classics', 'science-fiction', 'novels', 'literature', 'fiction', '20th-century', 'unfinished', 'historical'}"
2102,superstition unveiled,{'fiction'}
2103,daddylonglegs,"{'animals', 'fiction', 'picture-books'}"
2104,modern,"{'contemporary', 'romance', 'literary-fiction', 'family', 'chick-lit', 'novels', 'fiction', 'adult-fiction', 'realistic-fiction', 'unfinished', 'adult', 'music', 'relationships', 'lgbt'}"
2105,the silly syclopedia,{'fiction'}
2106,winchester,"{'adventure', 'horror', 'mystery', 'paranormal', 'fantasy', 'mythology', 'fiction', 'novels', 'unfinished', 'magic', 'young-adult', 'vampires', 'non-fiction', 'memoir', 'supernatural', 'urban-fantasy'}"
2107,zoonomia vol i,"{'classics', 'unfinished', 'science'}"
2108,the christmas angel,"{'romance', 'contemporary', 'christian', 'literary-fiction', 'christmas', 'classics', 'fiction', 'historical-fiction', 'adult-fiction', 'romantic-suspense', 'realistic-fiction', 'unfinished', 'drama'}"
2109,critias,"{'history', 'classics', 'fantasy', 'mythology', 'philosophy', 'fiction', 'politics', '20th-century', 'non-fiction', 'historical'}"
2110,nickynan reservist,{'classics'}
2111,hugo,"{'romance', 'contemporary', 'family', 'chick-lit', 'fantasy', 'fiction', 'adult-fiction', 'love', 'adult', 'non-fiction', 'magic'}"
2112,the poor little rich girl,"{'classics', 'middle-grade', 'childrens', 'young-adult'}"
2113,my adventures as a spy,"{'adventure', 'history', 'biography', 'classics', 'fiction', 'young-adult', 'non-fiction', 'historical'}"
2114,timaeus,"{'history', 'classics', 'religion', 'mythology', 'philosophy', 'fiction', 'literature', 'science', 'non-fiction'}"
2115,the hawk of egypt,"{'classics', 'fiction', 'romance', 'historical'}"
2116,the camp fire girls on the farm,"{'classics', 'adventure'}"
2117,history of the jews,"{'christian', 'history', 'sociology', 'religion', 'psychology', 'philosophy', 'fiction', 'historical-fiction', 'non-fiction', 'theology', 'historical'}"
2118,franks campaign,{'fiction'}
2119,the gay lord quex,{'plays'}
2120,the manwolf and other tales,"{'romance', 'horror', 'classics', 'paranormal', 'short-stories', 'fiction', '20th-century', 'supernatural', 'historical'}"
2121,the flamingo feather,"{'adventure', 'historical-fiction', 'childrens'}"
2122,krlighedens komedie,"{'romance', 'history', 'classics', 'amazon', 'fiction', 'comedy', '20th-century', 'literature', 'drama', 'plays', 'humor'}"
2123,peewee harris on the trail,"{'fiction', 'young-adult'}"
2124,a selection of books,"{'history', 'art'}"
2125,personal reminiscences of,"{'classics', 'history', 'biography', 'non-fiction'}"
2126,english dialects,"{'reference', 'non-fiction'}"
2127,same old bill eh mable,"{'fiction', 'history', 'humor'}"
2128,crowds,"{'history', 'sociology', 'classics', 'religion', 'psychology', 'novels', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'science', 'literature', 'non-fiction', 'unfinished', 'war'}"
2129,the grey room,"{'literary-fiction', 'mystery', 'classics', 'mystery-thriller', 'fantasy', 'fiction', '20th-century'}"
2130,a voyage towards the south,{'adventure'}
2131,joanna godden,"{'feminism', 'classics', 'novels', 'fiction', 'historical-fiction', '20th-century'}"
2132,el estudiante de salamanca,"{'romance', 'horror', 'mystery', 'classics', 'literature', 'fiction', '20th-century', 'school', 'poetry'}"
2133,waste,"{'21st-century', 'science-fiction', 'fantasy', 'novels', 'fiction', 'adult-fiction', 'thriller', 'dystopia', 'speculative-fiction'}"
2134,lysis,"{'history', 'classics', 'philosophy', 'fiction', 'literature', '20th-century', 'essays', 'non-fiction', 'read-for-school'}"
2135,emma,"{'romance', 'literary-fiction', 'classics', 'historical-romance', 'chick-lit', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'adult', 'school', 'unfinished', 'historical', 'humor'}"
2136,charmides,"{'history', 'classics', 'philosophy', 'fiction', '20th-century', 'non-fiction'}"
2137,crime and its causes,"{'education', 'crime', 'psychology', 'sports'}"
2138,la mort de csar,"{'classics', 'fiction', 'politics', 'drama', 'historical'}"
2139,hiljaisuudessa,"{'romance', 'contemporary', 'literary-fiction', 'science-fiction', 'modern', 'chick-lit', 'novels', 'literature', 'fiction', 'love', 'adult', 'unfinished', 'coming-of-age'}"
2140,la fabrique de crimes,{'classics'}
2141,memories,"{'romance', 'literary-fiction', 'contemporary', 'history', 'historical-romance', 'family', 'chick-lit', 'fiction', 'historical-fiction', 'war', 'adult', 'non-fiction', 'unfinished', 'historical'}"
2142,the scientific american boy,{'non-fiction'}
2143,the book of joyous children,"{'classics', 'poetry'}"
2144,william lillys history,"{'fiction', 'history', 'biography', 'non-fiction'}"
2145,the rebel of the school,"{'classics', 'short-stories', 'childrens', 'school'}"
2146,laches,"{'education', 'history', 'classics', 'philosophy', 'fiction', '20th-century', 'non-fiction', 'college'}"
2147,leonie of the jungle,"{'classics', 'fantasy'}"
2148,slippy mcgee,{'childrens'}
2149,escalvigor,"{'romance', 'erotica', 'classics', 'novels', 'fiction', '20th-century', 'historical', 'lgbt'}"
2150,florante at laura,"{'romance', 'adventure', 'literary-fiction', 'classics', 'historical-romance', 'fantasy', 'literature', 'fiction', 'historical-fiction', 'love', 'adult-fiction', 'school', 'non-fiction', 'read-for-school', 'poetry'}"
2151,beaucoup de bruit pour rien,"{'romance', 'historical', 'classics', 'high-school', 'literature', 'fiction', 'comedy', 'read-for-school', '20th-century', 'historical-fiction', 'school', 'adult', 'drama', 'poetry', 'adult-fiction', 'plays', 'college', 'humor'}"
2152,the wrong box,"{'adventure', 'literary-fiction', 'crime', 'mystery', 'classics', 'novella', 'novels', 'literature', 'fiction', 'comedy', '20th-century', 'historical-fiction', 'humor'}"
2153,iphigenia in tauris,"{'classics', 'plays', 'drama', 'science-fiction'}"
2154,the social emergency,"{'non-fiction', 'fiction', 'classics', 'education'}"
2155,man and wife,"{'romance', 'literary-fiction', 'mystery', 'classics', 'mystery-thriller', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century'}"
2156,afterwhiles,"{'literature', 'poetry', 'fiction'}"
2157,the little colonels chum,"{'short-stories', 'fiction', 'childrens', 'classics'}"
2158,the man without a country,"{'adventure', 'crime', 'history', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', 'short-stories', 'war', '20th-century', 'comedy', 'non-fiction', 'philosophy', 'spirituality', 'american', 'historical'}"
2159,the black robe,"{'mystery', 'classics', 'religion', 'novella', 'novels', 'fiction', 'historical-fiction', '20th-century'}"
2160,the day of days,"{'contemporary', 'literary-fiction', '21st-century', 'romance', 'feminism', 'novella', 'family', 'novels', 'literature', 'fiction', 'adult-fiction', 'unfinished', 'relationships', 'adult', 'drama'}"
2161,the unseen bridgegroom,"{'romance', 'fiction', 'mystery', 'classics'}"
2162,the stepmother,"{'contemporary', 'mystery', 'suspense', 'family', 'mystery-thriller', 'novels', 'psychology', 'fiction', 'adult-fiction', 'relationships', 'thriller', 'adult', 'drama', 'dark'}"
2163,elene and others,"{'fiction', 'humor'}"
2164,a rogues life,"{'romance', 'adventure', 'crime', 'mystery', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'short-stories', 'humor'}"
2165,the flower of the chapdelaines,"{'20th-century', 'american'}"
2166,mon amie nane,"{'literature', 'roman'}"
2167,literature of the hopi,"{'fiction', 'religion', 'historical', 'non-fiction'}"
2168,tamburlaine the great part ii,"{'history', 'classics', 'literature', 'fiction', 'read-for-school', '20th-century', 'historical-fiction', 'school', 'drama', 'plays'}"
2169,stufen,"{'contemporary', 'crime', 'roman', 'mystery', 'mystery-thriller', 'novels', 'fiction', 'thriller', 'contemporary-romance', 'adult'}"
2170,the island of doctor moreau,"{'adventure', 'novella', 'science', 'dystopia', 'speculative-fiction', 'horror', 'mystery', 'animals', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'adult', 'school', 'classics', 'adult-fiction', 'science-fiction', 'thriller'}"
2171,the amazing interlude,"{'romance', 'feminism', 'mystery', 'classics', 'novels', 'fiction', 'historical-fiction', '20th-century', 'love', 'historical', 'humor'}"
2172,his masterpiece,"{'romance', 'contemporary', 'amazon', 'short-stories', 'contemporary-romance'}"
2173,poker,"{'history', 'biography', 'non-fiction', 'humor', 'fiction', 'politics', 'memoir', 'economics', 'unfinished', 'american', 'business'}"
2174,the rover boys on the river,"{'mystery', 'classics', 'fantasy', 'fiction', 'historical-fiction', 'childrens', 'young-adult'}"
2175,collected essays volume v,"{'philosophy', 'science'}"
2176,protagoras,"{'history', 'classics', 'psychology', 'philosophy', 'fiction', 'literature', 'school', 'non-fiction', 'poetry', 'college'}"
2177,the tales of hoffmann,{'non-fiction'}
2178,outward bound,"{'literary-fiction', 'classics', 'science-fiction', 'fantasy', 'novels', 'fiction', 'short-stories', 'science', 'young-adult', 'theology'}"
2179,the vehement flame,"{'classics', 'historical'}"
2180,mother stories,"{'contemporary', 'literary-fiction', '21st-century', 'psychology', 'modern', 'sports', 'short-stories', 'fiction'}"
2181,egyptian literature,"{'religion', 'historical', 'non-fiction'}"
2182,stories of childhood,"{'contemporary', 'christian', 'crime', 'history', 'biography', 'religion', 'novels', 'literature', 'fiction', 'adult-fiction', 'war', '20th-century', 'memoir', 'non-fiction', 'read-for-school', 'coming-of-age', 'college'}"
2183,i was there,"{'contemporary', 'middle-grade', 'history', 'biography', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'memoir', 'non-fiction', 'war', 'realistic-fiction', 'school', 'politics', 'historical'}"
2184,an englishwomans loveletters,"{'romance', 'novels', 'fiction', '20th-century', 'non-fiction'}"
2185,le conte futur,"{'short-stories', 'fiction'}"
2186,wilderness ways,"{'amazon', 'travel', 'non-fiction'}"
2187,a sea queens sailing,"{'fiction', 'historical-fiction', 'history'}"
2188,french and english,"{'education', 'childrens', 'picture-books', 'school'}"
2189,essays on political economy,"{'education', 'history', 'classics', 'philosophy', 'fiction', 'politics', 'read-for-school', 'non-fiction', 'unfinished', 'economics', 'business'}"
2190,the child of the dawn,"{'fiction', 'religion', 'fantasy', 'novels'}"
2191,andersens fairy tales,"{'middle-grade', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'short-stories', '20th-century', 'childrens', 'young-adult', 'non-fiction', 'unfinished', 'theology'}"
2192,camera obscura,"{'classics', 'novels', 'literature', 'fiction', 'short-stories', 'historical-fiction', 'school', 'humor'}"
2193,euthydemus,"{'history', 'classics', 'philosophy', 'fiction', '20th-century', 'non-fiction'}"
2194,si tandang basio macunat,{'classics'}
2195,washington irving,"{'classics', 'fiction'}"
2196,cinderella and others,"{'classics', 'fiction', 'unfinished', 'childrens'}"
2197,japhet in search of a father,"{'romance', 'adventure', 'classics', 'fiction', '20th-century'}"
2198,come rack come rope,"{'christian', 'history', 'classics', 'religion', 'science-fiction', 'novels', 'literature', 'fiction', 'historical-fiction', 'young-adult', 'adult', 'spirituality', 'historical'}"
2199, vuotta,"{'romance', 'contemporary', 'literary-fiction', 'chick-lit', 'novels', 'fantasy', 'fiction', 'adult-fiction', 'realistic-fiction', 'love', 'contemporary-romance', 'adult', 'non-fiction', 'drama', 'relationships'}"
2200,salambo,"{'romance', 'literary-fiction', 'history', 'roman', 'classics', 'novella', 'historical-romance', 'comics', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'war', 'comedy', 'unfinished', 'historical'}"
2201,alfred russel wallace,"{'history', 'biography', 'travel', 'fiction', 'comedy', 'science', 'memoir', 'non-fiction'}"
2202,peter pan,"{'adventure', 'middle-grade', 'classics', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'childrens', 'young-adult', 'magic'}"
2203,the awakening and selected,"{'romance', 'literary-fiction', 'historical-fiction', 'theology', 'historical', 'college', 'high-school', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'unfinished', 'american', 'feminism', 'classics', 'short-stories', 'adult-fiction'}"
2204,symposium,"{'contemporary', 'literary-fiction', 'crime', 'mystery', 'novella', 'art', 'death', 'modern', 'novels', 'literature', 'fiction', 'family', '20th-century', 'non-fiction', 'humor'}"
2205,the evil eye,"{'romance', 'literary-fiction', 'suspense', 'novella', 'psychology', 'family', 'theology', 'contemporary', 'horror', 'mystery', 'literature', 'fiction', 'amazon', 'american', 'crime', 'short-stories', 'adult-fiction', 'relationships', 'thriller'}"
2206,the breaking point,"{'romance', 'adventure', 'literary-fiction', 'mystery', 'classics', 'historical-romance', 'mystery-thriller', 'novels', 'fiction', 'adult-fiction', '20th-century', 'historical'}"
2207,the hedge school,"{'romance', 'short-stories', 'historical-fiction', 'young-adult'}"
2208,phil purcel the pigdriver,{'classics'}
2209,dawn ohara the girl who laughed,"{'romance', 'literary-fiction', 'historical', 'classics', 'novels', 'fiction', 'historical-fiction', 'adult-fiction', '20th-century', 'american', 'plays', 'humor'}"
2210,le grillon du foyer,"{'romance', 'christmas', 'classics', 'novella', 'fantasy', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'childrens', 'adult', 'adult-fiction', 'historical'}"
2211,cantique de nol,"{'literary-fiction', 'novella', 'historical-fiction', 'historical', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'childrens', 'school', 'adult', 'read-for-school', 'christmas', 'classics', 'paranormal', 'short-stories', 'adult-fiction', 'young-adult'}"
2212,oliver twist,"{'literary-fiction', 'adventure', 'history', 'historical-fiction', 'historical', 'novels', 'literature', 'fiction', '20th-century', 'childrens', 'school', 'adult', 'read-for-school', 'unfinished', 'crime', 'classics', 'adult-fiction', 'young-adult', 'drama'}"
2213,journals of two expeditions,"{'history', 'travel'}"
2214,the lost lady of lone,"{'classics', 'suspense', 'history', 'mystery'}"
2215,the ebbtide,"{'romance', 'contemporary', 'christian', 'historical-romance', 'family', 'fiction', 'adult-fiction', 'relationships', 'adult', 'non-fiction', 'unfinished'}"
2216,the wonder book of bible stories,"{'religion', 'reference', 'short-stories', 'childrens', 'non-fiction', 'spirituality'}"
2217,mythen  legenden van japan,"{'history', 'classics', 'religion', 'reference', 'fantasy', 'mythology', 'literature', 'fiction', 'read-for-school', 'poetry', 'non-fiction', 'unfinished', 'theology'}"
2218,the crock of gold,"{'literary-fiction', 'classics', 'novella', 'fantasy', 'novels', 'literature', 'fiction', 'mythology', 'philosophy', '20th-century', 'childrens', 'graphic-novels', 'humor'}"
2219,the brownies and other tales,"{'middle-grade', 'christmas', 'classics', 'fantasy', 'childrens'}"
2220,the haunted chamber,"{'horror', 'classics', 'fiction', 'graphic-novels', 'speculative-fiction'}"
