Unnamed: 0,title,genres
51,great events ,"{'education', 'history', 'reference', 'amazon', 'fiction', 'historical-fiction', 'non-fiction'}"
52,excellent women,"{'romance', 'literary-fiction', 'contemporary', 'feminism', 'classics', 'religion', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'comedy', 'adult', 'relationships', 'historical', 'humor'}"
53,the first men in the moon,"{'adventure', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'science', 'dystopia', 'adult', 'speculative-fiction'}"
54,books for children,"{'education', 'writing', 'reference', 'literature', 'fiction', 'childrens', 'adult', 'non-fiction'}"
55,the sowers,"{'contemporary', 'christian', 'drama', 'family', 'fiction', 'historical-fiction', 'adult-fiction', 'unfinished', 'relationships', 'historical'}"
56,the lure of the dim trails,"{'romance', 'adventure', 'classics', 'fiction', 'historical-fiction', '20th-century', 'non-fiction'}"
57,maezli,"{'classics', 'novels', 'literature', 'fiction', 'short-stories', 'childrens', 'historical'}"
58,punch volume ,"{'romance', 'contemporary', 'erotica', 'comics', 'literature', 'graphic-novels', 'fiction', 'drama', 'manga', 'lgbt'}"
59,americas war for humanity,"{'american', 'history'}"
60,the merry adventures of robin hood,"{'adventure', 'middle-grade', 'history', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'historical-fiction', 'novels', 'childrens', 'young-adult', '20th-century', 'american', 'historical'}"
61,the oregon trail,"{'adventure', 'history', 'biography', 'classics', 'animals', 'reference', 'travel', 'literature', 'fiction', 'historical-fiction', '20th-century', 'memoir', 'non-fiction', 'american', 'historical'}"
62,english poets,"{'history', 'biography', 'writing', 'classics', 'fiction', 'essays', 'non-fiction', 'poetry'}"
63,mohammedanism,"{'history', 'religion', 'reference', 'fiction', 'non-fiction'}"
64,poems,"{'romance', 'classics', 'modern', 'literature', 'fiction', '20th-century', 'non-fiction', 'unfinished', 'poetry', 'american', 'college', 'art'}"
65,sword blades and poppy seed,"{'poetry', '20th-century', 'modern'}"
66,the desert of wheat,"{'classics', 'fiction', 'historical-fiction', '20th-century'}"
67,maria mitchell,"{'picture-books', 'fiction', 'childrens', 'biography'}"
68,the congo and other poems,"{'classics', 'literature', 'fiction', '20th-century', 'non-fiction', 'poetry'}"
69,wolves of the sea,"{'horror', 'fantasy', 'historical-fiction', 'vampires', 'historical'}"
70,at whispering pine lodge,"{'classics', 'fiction'}"
71,pecks bad boy at the circus,"{'childrens', 'novels'}"
72,introduction to the,"{'christian', 'classics', 'religion', 'self-help', 'philosophy', 'fiction', '20th-century', 'non-fiction', 'unfinished', 'theology', 'spirituality'}"
73,the land of little rain,"{'adventure', 'history', 'biography', 'travel', 'science', 'non-fiction', 'theology', 'historical', 'college', 'animals', 'literature', 'fiction', '20th-century', 'essays', 'school', 'read-for-school', 'unfinished', 'american', 'classics', 'short-stories', 'memoir', 'poetry'}"
74,poetry of wordsworth,"{'romance', 'classics', 'reference', 'literature', 'fiction', '20th-century', 'read-for-school', 'poetry', 'college'}"
75,walking,"{'adventure', 'horror', 'action', 'science-fiction', 'comics', 'fantasy', 'paranormal', 'manga', 'graphic-novels', 'fiction', 'adult-fiction', 'thriller', 'dystopia', 'adult', 'speculative-fiction', 'drama', 'supernatural', 'dark'}"
76,kalitan our little alaskan cousin,{'adventure'}
77,their crimes,"{'history', 'literature', 'fiction', 'politics', 'war', 'historical-fiction', 'non-fiction', 'economics', 'historical'}"
78,beautiful joe,"{'adventure', 'biography', 'animals', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'non-fiction'}"
79,old creole days,"{'romance', 'classics', 'novels', 'literature', 'short-stories', 'fiction', 'historical-fiction', '20th-century', 'realistic-fiction', 'non-fiction', 'read-for-school', 'american'}"
80,the wrecker,"{'romance', 'adventure', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', 'amazon', '20th-century', 'historical'}"
81,patty at home,"{'classics', 'historical', 'young-adult'}"
82,the lone star ranger,"{'romance', 'adventure', 'classics', 'science-fiction', 'novels', 'literature', 'fiction', 'historical-fiction', 'adult', 'american', 'historical'}"
83,the professor,"{'romance', 'literary-fiction', 'classics', 'historical-romance', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'adult', 'drama', 'historical'}"
84,the nightborn,"{'fantasy', 'paranormal', 'adult', 'magic', 'urban-fantasy', 'paranormal-romance'}"
85,confession de minuit,"{'romance', 'classics', 'psychology', 'philosophy', 'fiction', 'literature', '20th-century', 'unfinished'}"
86,verse and prose,"{'classics', '20th-century', 'drama', 'poetry', 'plays'}"
87,around the world in  days,"{'adventure', 'classics', 'action', 'science-fiction', 'travel', 'novels', 'literature', 'fiction', 'historical-fiction', 'fantasy', 'childrens', 'young-adult', 'school', 'realistic-fiction', '20th-century', 'historical'}"
88,sonnets,"{'read-for-school', 'poetry', '20th-century', 'reference'}"
89,damon and delia,"{'romance', 'mystery', 'classics', 'short-stories', 'fiction'}"
90,dotty dimple at play,"{'classics', 'historical-fiction'}"
91,dragons blood,"{'romance', 'reference', 'fantasy', 'young-adult', 'unfinished', 'urban-fantasy'}"
92,the rover boys at college,"{'education', 'classics', 'fiction', '20th-century', 'childrens', 'college'}"
93,bull hunter,"{'adventure', 'roman', 'classics', 'travel', 'novels', 'fiction', 'historical-fiction', '20th-century', 'non-fiction', 'american'}"
94,rose o the river,"{'romance', 'literary-fiction', 'classics', 'fiction', 'historical-fiction', 'short-stories', 'young-adult', 'american', 'historical'}"
95,fruitfulness,"{'christian', 'religion', 'fiction', 'non-fiction', 'theology', 'spirituality'}"
96,the european anarchy,"{'fiction', 'history'}"
97,with the turks in palestine,"{'history', 'religion', 'fiction', 'politics', 'historical'}"
98,the velvet glove,"{'crime', 'science-fiction', 'fantasy', 'short-stories', 'fiction', '20th-century', 'dystopia'}"
99,domestic manners of the americans,"{'literary-fiction', '21st-century', 'history', 'biography', 'sociology', 'classics', 'travel', 'literature', 'fiction', 'historical-fiction', '20th-century', 'essays', 'memoir', 'school', 'non-fiction', 'american', 'historical', 'humor'}"
100,naar het middelpunt der aarde,"{'romance', 'adventure', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'travel', '20th-century', 'science', 'childrens', 'young-adult', 'historical-fiction', 'speculative-fiction', 'adult', 'historical'}"
101,s johnson v,"{'adventure', 'horror', 'crime', 'science-fiction', 'comics', 'fantasy', 'paranormal', 'graphic-novels', 'historical-fiction', 'historical'}"
102,satyros oder der,{'drama'}
103,die laune des verliebten,"{'classics', 'plays'}"
104,life of johnson volume  of ,"{'literature', 'history', 'biography', 'classics'}"
105,the boss of little arcady,"{'classics', 'fiction', '20th-century', 'historical'}"
106,joe wilson and his mates,"{'classics', 'literature', 'short-stories', 'fiction', 'historical-fiction', '20th-century'}"
107,the bravo,"{'literary-fiction', 'history', 'biography', 'action', 'amazon', 'fiction', 'adult-fiction', 'war', 'thriller', 'memoir', 'non-fiction', 'historical'}"
108,precaution,"{'adventure', 'classics', 'novels', 'fiction', 'historical-fiction', 'american'}"
109,freedoms battle,"{'history', 'biography', 'classics', 'reference', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'memoir', 'literature', 'non-fiction'}"
110,the cinema murder,"{'mystery', 'classics', 'suspense', 'mystery-thriller', 'novels', 'fiction', '20th-century', 'thriller'}"
111,the middle temple murder,"{'crime', 'history', 'mystery', 'classics', 'mystery-thriller', 'amazon', 'fiction', 'historical-fiction', 'historical'}"
112,the evil guest,"{'literary-fiction', 'crime', 'horror', 'mystery', 'classics', 'fantasy', 'novels', 'philosophy', 'fiction', 'short-stories', 'historical-fiction', 'thriller', 'mystery-thriller', '20th-century', 'speculative-fiction', 'magic', 'lgbt'}"
113,autobiography,"{'history', 'biography', 'feminism', 'classics', 'literature', 'fiction', 'politics', 'philosophy', 'memoir', 'non-fiction', 'american', 'historical', 'lgbt'}"
114,at loves cost,{'romance'}
115,bible stories,"{'christian', 'mystery', 'classics', 'religion', 'reference', 'fiction', 'childrens', 'non-fiction', 'spirituality'}"
116,la revolution,"{'graphic-novels', 'politics', 'adventure', 'comics'}"
117,northern trails book i,"{'adventure', 'history', 'biography', 'classics', 'novella', 'fiction'}"
118,making the house a home,"{'poetry', 'biography'}"
119,stolen treasure,{'realistic-fiction'}
120,joy  power,"{'christian', 'religion', 'fiction', 'non-fiction', 'theology', 'spirituality'}"
121,the story of louis riel,{'non-fiction'}
122,historie van mejuffrouw sara,"{'history', 'feminism', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'school', 'non-fiction', 'read-for-school', 'historical'}"
123,personal memoir of daniel drayton,{'historical'}
124,the crisis of the naval war,{'non-fiction'}
125,the powers and maxine,{'mystery-thriller'}
126,love life  work,"{'classics', 'philosophy', 'fiction', 'essays', 'non-fiction', 'american', 'business'}"
127,caesar dies,"{'adventure', 'history', 'classics', 'action', 'fantasy', 'fiction', 'historical-fiction', '20th-century'}"
128,the story of evolution,"{'history', 'roman', 'animals', 'reference', 'science', 'childrens', 'non-fiction'}"
129,la comedie de la mort,"{'unfinished', 'poetry'}"
130,venus and adonis,"{'romance', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'read-for-school', '20th-century', 'amazon', 'school', 'drama', 'poetry', 'plays', 'college'}"
131,a golden book of venice,"{'historical-fiction', 'history'}"
132,when day is done,"{'historical-fiction', 'historical'}"
133,australian explorations,"{'history', 'travel'}"
134,clarissa volume  of ,"{'fiction', 'literary-fiction'}"
135,the little house in the fairy wood,"{'adventure', 'picture-books', 'classics', 'family', 'fantasy', 'fiction', 'historical-fiction', 'childrens', 'young-adult'}"
136,a childs antislavery book,"{'history', 'short-stories', 'historical-fiction', 'childrens', 'non-fiction', 'american'}"
137,the new machiavelli,"{'romance', 'history', 'classics', 'science-fiction', 'novels', 'amazon', 'fiction', 'politics', '20th-century', 'historical-fiction', 'philosophy'}"
138,arthurian chronicles roman,"{'education', 'history', 'drama', 'biography', 'classics', 'mythology', 'literature', 'fiction', '20th-century', 'war', 'magic', 'poetry', 'historical'}"
139,the lost naval papers,"{'non-fiction', 'crime', 'mystery'}"
140,the ruling passion,{'historical-fiction'}
141,kauppalopo,"{'feminism', 'classics', 'novella', 'fiction', 'short-stories', '20th-century'}"
142,rautatie,"{'adventure', 'middle-grade', 'history', 'classics', 'family', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'historical'}"
143,short stories old and new,"{'literary-fiction', 'classics', 'sports', 'amazon', 'short-stories', 'fiction'}"
144,the golden legend,"{'contemporary', 'literary-fiction', 'feminism', 'religion', 'family', 'novels', 'literature', 'fiction', 'adult-fiction', 'politics', 'realistic-fiction', 'historical-fiction', '20th-century', 'adult', 'drama', 'war'}"
145,practice book,{'self-help'}
